topic_id,rank,word,weight
1,1,ребёнок,0.015865
1,2,женщина,0.015696
1,3,мужчина,0.011436
1,4,человек,0.010561
1,5,девушка,0.008192
1,6,дом,0.007043
1,7,семья,0.006222
1,8,мать,0.006083
1,9,издание,0.005235
1,10,тысяча,0.005103
1,11,сделать,0.005059
1,12,друг,0.004801
1,13,очень,0.004702
1,14,жизнь,0.004674
1,15,хотеть,0.004408
2,1,украина,0.066435
2,2,украинский,0.044332
2,3,военный,0.021781
2,4,россия,0.016024
2,5,киев,0.015414
2,6,российский,0.014761
2,7,керченский,0.013194
2,8,саудовский,0.012465
2,9,порошенко,0.011932
2,10,крым,0.011706
2,11,корабль,0.011177
2,12,море,0.010354
2,13,страна,0.010259
2,14,территория,0.009993
2,15,журналист,0.009868
3,1,бой,0.020471
3,2,макгрегор,0.018819
3,3,победа,0.017913
3,4,боец,0.017728
3,5,нурмагомед,0.012924
3,6,россиянин,0.012751
3,7,нурмагомедов,0.012388
3,8,хабиб,0.010396
3,9,поединок,0.010392
3,10,чемпион,0.010277
3,11,ирландец,0.007668
3,12,турнир,0.007594
3,13,российский,0.006914
3,14,спортсмен,0.006711
3,15,смешанный,0.006518
4,1,сша,0.048732
4,2,россия,0.025809
4,3,американский,0.020148
4,4,российский,0.018861
4,5,президент,0.018224
4,6,трамп,0.017374
4,7,военный,0.014992
4,8,страна,0.013472
4,9,китай,0.009474
4,10,сирия,0.009217
4,11,дональд,0.008579
4,12,сторона,0.007305
4,13,оружие,0.007239
4,14,лидер,0.007146
4,15,москва,0.006737
5,1,процент,0.040565
5,2,цена,0.01607
5,3,церковь,0.011738
5,4,рубль,0.010902
5,5,рынок,0.010492
5,6,тысяча,0.010481
5,7,рост,0.007833
5,8,православный,0.007671
5,9,россия,0.007007
5,10,самый,0.006737
5,11,квартира,0.006729
5,12,патриархат,0.006438
5,13,составить,0.006328
5,14,миллион,0.006096
5,15,компания,0.005966
6,1,проект,0.015513
6,2,компания,0.014966
6,3,россия,0.011615
6,4,новый,0.01066
6,5,российский,0.007206
6,6,имя,0.007089
6,7,работа,0.006672
6,8,директор,0.005661
6,9,первый,0.005636
6,10,развитие,0.005152
6,11,система,0.00507
6,12,рамка,0.004576
6,13,программа,0.004479
6,14,конкурс,0.00428
6,15,участие,0.004153
7,1,область,0.024371
7,2,регион,0.023256
7,3,губернатор,0.011642
7,4,система,0.009191
7,5,работа,0.008918
7,6,министр,0.008542
7,7,комплекс,0.007961
7,8,территория,0.006812
7,9,подмосковье,0.006521
7,10,тысяча,0.006482
7,11,андрей,0.006074
7,12,воробьёв,0.005956
7,13,московский,0.005899
7,14,объект,0.005659
7,15,житель,0.005444
8,1,кокорин,0.036009
8,2,футболист,0.027467
8,3,мамай,0.016081
8,4,драка,0.016067
8,5,александр,0.015391
8,6,мамаев,0.014059
8,7,павел,0.013597
8,8,пак,0.012626
8,9,денис,0.012537
8,10,москва,0.012532
8,11,дело,0.01249
8,12,директор,0.011714
8,13,сергей,0.011421
8,14,избить,0.011168
8,15,водитель,0.010838
9,1,учёный,0.022398
9,2,человек,0.013705
9,3,тысяча,0.010248
9,4,обнаружить,0.010234
9,5,исследование,0.010225
9,6,исследователь,0.009371
9,7,университет,0.008385
9,8,животное,0.007367
9,9,сша,0.007072
9,10,количество,0.006716
9,11,показать,0.006087
9,12,специалист,0.005919
9,13,жизнь,0.005845
9,14,заболевание,0.005743
9,15,являться,0.005708
10,1,матч,0.021019
10,2,команда,0.019939
10,3,клуб,0.018566
10,4,сборная,0.013492
10,5,чемпионат,0.012107
10,6,лига,0.012055
10,7,мир,0.010266
10,8,тренер,0.01013
10,9,футболист,0.009903
10,10,россия,0.009894
10,11,место,0.009001
10,12,игра,0.008453
10,13,российский,0.00843
10,14,чемпион,0.007924
10,15,счёт,0.007543
11,1,рубль,0.038295
11,2,миллион,0.026964
11,3,доллар,0.022629
11,4,тысяча,0.020594
11,5,компания,0.015716
11,6,миллиард,0.014397
11,7,деньга,0.013006
11,8,сумма,0.012957
11,9,банк,0.012885
11,10,средство,0.009297
11,11,размер,0.007851
11,12,счёт,0.005645
11,13,финансовый,0.005631
11,14,фонд,0.005342
11,15,около,0.004968
12,1,россия,0.017245
12,2,президент,0.013798
12,3,глава,0.013252
12,4,страна,0.012532
12,5,министр,0.007165
12,6,решение,0.006077
12,7,вопрос,0.00592
12,8,государство,0.005887
12,9,владимир,0.005832
12,10,республика,0.005566
12,11,путин,0.005545
12,12,правительство,0.005465
12,13,принять,0.005133
12,14,депутат,0.005058
12,15,человек,0.005031
13,1,город,0.024939
13,2,дом,0.016007
13,3,метр,0.010319
13,4,место,0.009888
13,5,дорога,0.008747
13,6,район,0.008372
13,7,здание,0.008133
13,8,человек,0.007894
13,9,километр,0.00714
13,10,час,0.00692
13,11,около,0.006722
13,12,пожар,0.006646
13,13,коллекция,0.006314
13,14,остров,0.00628
13,15,пресс,0.00627
14,1,самолёт,0.031552
14,2,истребитель,0.01251
14,3,авиакомпания,0.010213
14,4,ракета,0.009615
14,5,полёт,0.009552
14,6,российский,0.009509
14,7,пассажир,0.00927
14,8,корабль,0.008392
14,9,аэропорт,0.008122
14,10,пилот,0.0072
14,11,борт,0.00716
14,12,союз,0.006991
14,13,рейс,0.006953
14,14,двигатель,0.00657
14,15,воздушный,0.006377
15,1,пользователь,0.012065
15,2,фотография,0.008985
15,3,фильм,0.007182
15,4,сеть,0.007146
15,5,актёр,0.006237
15,6,известный,0.006236
15,7,артист,0.006082
15,8,появиться,0.00603
15,9,группа,0.005962
15,10,шоу,0.005869
15,11,первый,0.005792
15,12,написать,0.005784
15,13,назвать,0.005735
15,14,хороший,0.005484
15,15,канал,0.005381
16,1,дело,0.017971
16,2,суд,0.017706
16,3,уголовный,0.009299
16,4,убийство,0.009068
16,5,статья,0.008815
16,6,преступление,0.007185
16,7,задержать,0.007037
16,8,человек,0.006518
16,9,сотрудник,0.00639
16,10,обвинение,0.006095
16,11,данные,0.005793
16,12,следствие,0.005701
16,13,бывший,0.005485
16,14,признать,0.005302
16,15,колония,0.0053
17,1,великобритания,0.019316
17,2,британский,0.018797
17,3,бывший,0.014824
17,4,российский,0.013046
17,5,петров,0.01233
17,6,сергей,0.012013
17,7,информация,0.01178
17,8,сотрудник,0.010931
17,9,александр,0.010675
17,10,лондон,0.010573
17,11,разведка,0.010559
17,12,гру,0.010025
17,13,имя,0.009308
17,14,обвинение,0.00928
17,15,отравление,0.008568
18,1,врач,0.015581
18,2,больница,0.013377
18,3,помощь,0.010239
18,4,вода,0.00918
18,5,медицинский,0.0076
18,6,состояние,0.007564
18,7,человек,0.007516
18,8,животное,0.007041
18,9,издание,0.006154
18,10,собака,0.005818
18,11,операция,0.005628
18,12,колледж,0.005003
18,13,алкоголь,0.00492
18,14,пациент,0.0048
18,15,здоровье,0.004707
19,1,полиция,0.020432
19,2,пострадать,0.012982
19,3,человек,0.012914
19,4,сотрудник,0.012645
19,5,мужчина,0.011091
19,6,автомобиль,0.010927
19,7,полицейский,0.010032
19,8,место,0.009804
19,9,погибнуть,0.009286
19,10,источник,0.008775
19,11,инцидент,0.008214
19,12,служба,0.008192
19,13,управление,0.008189
19,14,орган,0.008177
19,15,машина,0.007729
