topic_id,rank,word,weight
1,1,россия,1.234427
1,2,глава,1.094185
1,3,президент,1.083802
1,4,страна,1.077471
1,5,депутат,0.876529
1,6,украина,0.852329
1,7,государство,0.826746
1,8,министр,0.76851
1,9,республика,0.760595
1,10,путин,0.749072
1,11,выборы,0.716465
1,12,владимир,0.713506
1,13,вопрос,0.602419
1,14,гражданин,0.569335
1,15,премьер,0.558629
2,1,украина,0.996678
2,2,украинский,0.857344
2,3,пролив,0.812433
2,4,корабль,0.803428
2,5,керченский,0.773267
2,6,военный,0.768087
2,7,фсб,0.565624
2,8,граница,0.515534
2,9,киев,0.507702
2,10,моряк,0.500566
2,11,морской,0.459151
2,12,положение,0.445083
2,13,задержать,0.42335
2,14,российский,0.413727
2,15,пограничный,0.411979
3,1,суд,0.932634
3,2,дело,0.881472
3,3,уголовный,0.668383
3,4,задержать,0.590362
3,5,сотрудник,0.586376
3,6,следствие,0.530496
3,7,статья,0.513724
3,8,преступление,0.504169
3,9,следственный,0.496571
3,10,колония,0.492465
3,11,управление,0.449907
3,12,возбудить,0.414122
3,13,полиция,0.409975
3,14,обвинение,0.401849
3,15,бывший,0.40151
4,1,макгрегор,1.075854
4,2,бой,1.075713
4,3,боец,0.9515
4,4,нурмагомед,0.853248
4,5,нурмагомедов,0.830911
4,6,поединок,0.74559
4,7,хабиб,0.741096
4,8,победа,0.661254
4,9,ирландец,0.603372
4,10,смешанный,0.515192
4,11,россиянин,0.49751
4,12,чемпион,0.49714
4,13,бойцовский,0.468472
4,14,абсолютный,0.438889
4,15,конора,0.43751
5,1,кокорин,1.164855
5,2,футболист,0.867172
5,3,мамай,0.740564
5,4,мамаев,0.6708
5,5,пак,0.614437
5,6,драка,0.554233
5,7,павел,0.541723
5,8,гайсин,0.518646
5,9,ушаков,0.510466
5,10,минпромторг,0.502082
5,11,денис,0.493901
5,12,водитель,0.489356
5,13,избить,0.451932
5,14,ольга,0.442904
5,15,александр,0.419939
6,1,процент,1.33672
6,2,рубль,1.214153
6,3,тысяча,0.956856
6,4,квартира,0.949263
6,5,жильё,0.843763
6,6,миллион,0.741587
6,7,недвижимость,0.653438
6,8,аналитик,0.621148
6,9,квадратный,0.607292
6,10,метр,0.594931
6,11,стоимость,0.589123
6,12,составить,0.576867
6,13,средний,0.57038
6,14,самый,0.559525
