topic,rank,lemma,tfidf_score
69-я параллель,1,арктика,0.063323
69-я параллель,2,арктический,0.059133
69-я параллель,3,проект,0.042383
69-я параллель,4,красноярск,0.038772
69-я параллель,5,северный,0.032949
69-я параллель,6,красноярский,0.032407
69-я параллель,7,север,0.030470
69-я параллель,8,регион,0.030055
69-я параллель,9,тасс,0.027971
69-я параллель,10,район,0.025470
69-я параллель,11,региональный,0.025413
69-я параллель,12,развитие,0.024297
69-я параллель,13,медведь,0.022172
69-я параллель,14,город,0.021978
69-я параллель,15,туризм,0.021928
Бизнес,1,футбол,0.279615
Бизнес,2,чемпионат,0.219405
Бизнес,3,госкорпорация,0.202054
Бизнес,4,скоро,0.199214
Бизнес,5,комплексный,0.195993
Бизнес,6,покидать,0.195387
Бизнес,7,довольно,0.189396
Бизнес,8,избрать,0.183954
Бизнес,9,продлиться,0.178611
Бизнес,10,приобретение,0.177917
Бизнес,11,намеренный,0.169806
Бизнес,12,блок,0.169542
Бизнес,13,гендиректор,0.168765
Бизнес,14,полномочие,0.168258
Бизнес,15,перейти,0.163590
Бывший СССР,1,украина,0.101643
Бывший СССР,2,украинский,0.074151
Бывший СССР,3,киев,0.040841
Бывший СССР,4,страна,0.040754
Бывший СССР,5,военный,0.038422
Бывший СССР,6,президент,0.037161
Бывший СССР,7,порошенко,0.036995
Бывший СССР,8,россия,0.035189
Бывший СССР,9,российский,0.026849
Бывший СССР,10,пётр,0.026584
Бывший СССР,11,территория,0.024927
Бывший СССР,12,церковь,0.024892
Бывший СССР,13,глава,0.024575
Бывший СССР,14,сила,0.024197
Бывший СССР,15,республика,0.023997
Дом,1,квартира,0.092370
Дом,2,жильё,0.072917
Дом,3,процент,0.065260
Дом,4,рубль,0.062098
Дом,5,недвижимость,0.062058
Дом,6,квадратный,0.048421
Дом,7,аналитик,0.048392
Дом,8,метр,0.046501
Дом,9,дом,0.044747
Дом,10,тысяча,0.042893
Дом,11,москва,0.041467
Дом,12,миллион,0.041382
Дом,13,ставка,0.040635
Дом,14,рынок,0.038674
Дом,15,цена,0.036937
Из жизни,1,мужчина,0.038331
Из жизни,2,штат,0.034574
Из жизни,3,женщина,0.033920
Из жизни,4,издание,0.031894
Из жизни,5,город,0.031510
Из жизни,6,летний,0.030965
Из жизни,7,животное,0.026084
Из жизни,8,тысяча,0.025022
Из жизни,9,ребёнок,0.023853
Из жизни,10,врач,0.022839
Из жизни,11,девушка,0.022274
Из жизни,12,человек,0.021521
Из жизни,13,мать,0.020390
Из жизни,14,больница,0.020271
Из жизни,15,житель,0.020009
Интернет и СМИ,1,пользователь,0.048939
Интернет и СМИ,2,сеть,0.027224
Интернет и СМИ,3,журналист,0.027198
Интернет и СМИ,4,шоу,0.022449
Интернет и СМИ,5,человек,0.022177
Интернет и СМИ,6,написать,0.021558
Интернет и СМИ,7,девушка,0.021463
Интернет и СМИ,8,программа,0.020084
Интернет и СМИ,9,юзер,0.020020
Интернет и СМИ,10,мужчина,0.019687
Интернет и СМИ,11,эфир,0.019589
Интернет и СМИ,12,канал,0.019390
Интернет и СМИ,13,фотография,0.019134
Интернет и СМИ,14,ведущий,0.018966
Интернет и СМИ,15,страница,0.017715
Культура,1,фильм,0.048047
Культура,2,артист,0.044310
Культура,3,музыкант,0.040596
Культура,4,актёр,0.038958
Культура,5,концерт,0.037911
Культура,6,группа,0.031989
Культура,7,рэпер,0.027463
Культура,8,сериал,0.025444
Культура,9,картина,0.025006
Культура,10,песня,0.024969
Культура,11,режиссёр,0.024916
Культура,12,альбом,0.023687
Культура,13,певица,0.022200
Культура,14,исполнитель,0.022050
Культура,15,лента,0.021428
Мир,1,сша,0.047414
Мир,2,страна,0.036990
Мир,3,президент,0.032542
Мир,4,трамп,0.031091
Мир,5,россия,0.030656
Мир,6,военный,0.028965
Мир,7,американский,0.025734
Мир,8,российский,0.024818
Мир,9,человек,0.022192
Мир,10,дональд,0.020221
Мир,11,власть,0.020181
Мир,12,лидер,0.019881
Мир,13,глава,0.018496
Мир,14,министр,0.018476
Мир,15,государство,0.018439
Наука и техника,1,учёный,0.047008
Наука и техника,2,ракета,0.038961
Наука и техника,3,система,0.035296
Наука и техника,4,истребитель,0.033706
Наука и техника,5,самолёт,0.029667
Наука и техника,6,российский,0.027680
Наука и техника,7,космический,0.027498
Наука и техника,8,комплекс,0.027007
Наука и техника,9,сша,0.026305
Наука и техника,10,километр,0.022791
Наука и техника,11,корабль,0.022678
Наука и техника,12,исследователь,0.022315
Наука и техника,13,полёт,0.022285
Наука и техника,14,россия,0.021951
Наука и техника,15,поколение,0.021666
Путешествия,1,аэропорт,0.072560
Путешествия,2,самолёт,0.065703
Путешествия,3,пассажир,0.061790
Путешествия,4,авиакомпания,0.059551
Путешествия,5,турист,0.045671
Путешествия,6,рейс,0.043327
Путешествия,7,борт,0.036999
Путешествия,8,место,0.027371
Путешествия,9,имя,0.026878
Путешествия,10,город,0.026677
Путешествия,11,путешествие,0.024223
Путешествия,12,путешественник,0.024154
Путешествия,13,пилот,0.023892
Путешествия,14,конкурс,0.023707
Путешествия,15,авиалайнер,0.023471
Россия,1,россия,0.029141
Россия,2,область,0.027943
Россия,3,человек,0.025187
Россия,4,регион,0.024747
Россия,5,глава,0.022473
Россия,6,губернатор,0.020878
Россия,7,президент,0.020388
Россия,8,путин,0.019766
Россия,9,тысяча,0.017504
Россия,10,министр,0.017249
Россия,11,дело,0.016961
Россия,12,владимир,0.016823
Россия,13,ребёнок,0.015925
Россия,14,рубль,0.015831
Россия,15,российский,0.015346
Силовые структуры,1,дело,0.046852
Силовые структуры,2,уголовный,0.043763
Силовые структуры,3,следственный,0.041905
Силовые структуры,4,задержать,0.038173
Силовые структуры,5,сотрудник,0.037045
Силовые структуры,6,суд,0.036327
Силовые структуры,7,управление,0.034087
Силовые структуры,8,следствие,0.033713
Силовые структуры,9,комитет,0.032795
Силовые структуры,10,возбудить,0.032096
Силовые структуры,11,скр,0.030146
Силовые структуры,12,статья,0.029896
Силовые структуры,13,колония,0.029733
Силовые структуры,14,летний,0.028200
Силовые структуры,15,орган,0.028136
Спорт,1,матч,0.052654
Спорт,2,футболист,0.048893
Спорт,3,команда,0.045999
Спорт,4,чемпионат,0.042014
Спорт,5,чемпион,0.041468
Спорт,6,клуб,0.040424
Спорт,7,победа,0.035801
Спорт,8,спортсмен,0.035099
Спорт,9,лига,0.034093
Спорт,10,бой,0.032935
Спорт,11,сборная,0.032820
Спорт,12,тренер,0.032787
Спорт,13,турнир,0.030945
Спорт,14,боец,0.029846
Спорт,15,счёт,0.029744
Ценности,1,бренд,0.060779
Ценности,2,модель,0.050986
Ценности,3,одежда,0.048870
Ценности,4,коллекция,0.047901
Ценности,5,модный,0.038383
Ценности,6,платье,0.032602
Ценности,7,дизайнер,0.029462
Ценности,8,представить,0.028273
Ценности,9,фотография,0.027650
Ценности,10,новый,0.026674
Ценности,11,британский,0.026552
Ценности,12,кардашьян,0.025016
Ценности,13,наряд,0.024471
Ценности,14,появиться,0.024339
Ценности,15,компания,0.024262
Экономика,1,процент,0.049571
Экономика,2,компания,0.043785
Экономика,3,рубль,0.035573
Экономика,4,цена,0.035416
Экономика,5,россия,0.034842
Экономика,6,миллиард,0.033487
Экономика,7,доллар,0.031674
Экономика,8,рынок,0.031363
Экономика,9,российский,0.027762
Экономика,10,нефть,0.027323
Экономика,11,банк,0.026007
Экономика,12,рост,0.024791
Экономика,13,страна,0.022333
Экономика,14,новый,0.022077
Экономика,15,проект,0.020678
